time (seconds),encoderLeft (meters),encoderRight (meters)
82.2,0.11416255682706833,-0.11621042340993881
82.301,0.11651062220335007,-0.11856187134981155
82.401,0.11885863542556763,-0.12091334164142609
82.499,0.12120667099952698,-0.12326482683420181
82.601,0.12355466932058334,-0.12561631202697754
82.701,0.1259026676416397,-0.12796780467033386
82.801,0.12825070321559906,-0.130319282412529
82.901,0.13059870898723602,-0.13267077505588531
83.005,0.13294675946235657,-0.13502222299575806
83.104,0.13529478013515472,-0.13737370073795319
83.199,0.1376427859067917,-0.1397252082824707
83.301,0.15762776136398315,-0.11979152262210846
83.401,0.1776265799999237,-0.09979299455881119
83.501,0.19762535393238068,-0.07979445904493332
83.599,0.21762412786483765,-0.05979592725634575
83.701,0.21532030403614044,-0.05744149535894394
83.801,0.23525762557983398,-0.037459176033735275
83.892,0.2552562355995178,-0.01746048778295517
83.999,0.27525490522384644,0.002538183704018593
84.098,0.2729516625404358,0.00489296717569232
84.196,0.2928880453109741,0.024875422939658165
84.301,0.3128865659236908,0.0448744036257267
84.401,0.33288511633872986,0.06487314403057098
84.501,0.3305813670158386,0.06722787767648697
84.601,0.3505173623561859,0.08720981329679489
84.699,0.370515912771225,0.10720881819725037
84.801,0.39051443338394165,0.12720756232738495
84.901,0.388210266828537,0.12956249713897705
85,0.40814682841300964,0.14954346418380737
85.099,0.42814555764198303,0.16954220831394196
85.197,0.44814419746398926,0.189540833234787
85.301,0.4458407461643219,0.19189588725566864
85.401,0.4657759964466095,0.21187713742256165
85.501,0.48577460646629333,0.2318761646747589
85.599,0.50577312707901,0.2518748939037323
85.701,0.5257717967033386,0.2718735933303833
85.798,0.5457704067230225,0.2918722331523895
85.902,0.5657690763473511,0.31187087297439575
86.001,0.5857677459716797,0.3318694829940796
86.098,0.6057664752006531,0.3518680930137634
86.187,0.6257651448249817,0.37186670303344727
86.301,0.6457638144493103,0.3918653130531311
86.401,0.6657625436782837,0.41186389327049255
86.501,0.6857612133026123,0.4318625032901764
86.6,0.683457612991333,0.43421754240989685
86.699,0.7033923864364624,0.45420053601264954
86.801,0.723391056060791,0.4741991460323334
86.901,0.7433897256851196,0.4941977560520172
87,0.7410860657691956,0.4965529143810272
87.101,0.7610207200050354,0.5165343880653381
87.201,0.781019389629364,0.5365333557128906
87.301,0.8010179400444031,0.556532084941864
87.398,0.8210166096687317,0.5765307545661926
87.501,0.8410152792930603,0.5965293645858765
87.601,0.8610138893127441,0.6165280342102051
87.705,0.8810126185417175,0.6365266442298889
87.801,0.9010112881660461,0.6565252542495728
87.897,0.9210099577903748,0.6765238642692566
88.001,0.9410086870193481,0.6965224742889404
88.1,0.9610073566436768,0.7165210843086243
88.199,0.9810060262680054,0.7365196347236633
88.3,1.001004695892334,0.7565182447433472
88.401,1.003358006477356,0.754217267036438
88.501,1.023341178894043,0.7741492390632629
88.601,1.0433399677276611,0.794147789478302
88.701,1.0633387565612793,0.8141463398933411
88.801,1.083337426185608,0.8341448307037354
88.901,1.0856906175613403,0.8318430781364441
89.001,1.0880382061004639,0.8294914960861206
89.099,1.1080230474472046,0.8494235873222351
89.198,1.1280220746994019,0.8694218993186951
89.3,1.1480211019515991,0.889420211315155
89.4,1.1680200099945068,0.9094185829162598
89.501,1.1880189180374146,0.929417073726654
89.601,1.1903718709945679,0.9271151423454285
89.701,1.210360050201416,0.9470490217208862
89.801,1.2303590774536133,0.9670475125312805
89.897,1.250357985496521,0.98704594373703
90,1.2703568935394287,1.0070443153381348
90.1,1.2903556823730469,1.0270428657531738
90.201,1.3103545904159546,1.0470412969589233
90.3,1.3127076625823975,1.044738531112671
90.401,1.315055251121521,1.0423870086669922
90.485,1.335039496421814,1.062320351600647
90.6,1.3550384044647217,1.0823187828063965
90.701,1.3750371932983398,1.1023173332214355
90.801,1.395035982131958,1.122315764427185
90.901,1.4150348901748657,1.1423143148422241
91.001,1.41738760471344,1.1400121450424194
91.1,1.4197351932525635,1.1376605033874512
91.201,1.4220829010009766,1.1353089809417725
91.3,1.4420692920684814,1.15524423122406
91.401,1.4620682001113892,1.1752429008483887
91.497,1.4820669889450073,1.1952413320541382
91.599,1.5020657777786255,1.2152398824691772
91.7,1.5220645666122437,1.2352384328842163
91.801,1.5420633554458618,1.2552368640899658
91.901,1.5444155931472778,1.2529351711273193
92.001,1.5467631816864014,1.2505836486816406
92.099,1.549111008644104,1.248232126235962
92.2,1.569100022315979,1.2681691646575928
92.302,1.5890986919403076,1.2881677150726318
92.399,1.6090974807739258,1.308166265487671
92.501,1.629096269607544,1.32816481590271
92.599,1.6490949392318726,1.348163366317749
92.7,1.6690937280654907,1.368161916732788
92.801,1.6890923976898193,1.3881604671478271
92.897,1.691444993019104,1.3858579397201538
93.001,1.693792700767517,1.3835065364837646
93.101,1.7137796878814697,1.4034435749053955
93.201,1.733778476715088,1.4234421253204346
93.301,1.7537771463394165,1.4434406757354736
93.397,1.7737759351730347,1.4634392261505127
93.499,1.7937747240066528,1.4834377765655518
93.597,1.8137733936309814,1.5034363269805908
93.701,1.8337721824645996,1.5234348773956299
93.801,1.8537708520889282,1.5434335470199585
93.898,1.8561235666275024,1.5411310195922852
94.001,1.8584712743759155,1.538779616355896
94.099,1.8608189821243286,1.5364280939102173
94.2,1.8808075189590454,1.556365728378296
94.3,1.900806188583374,1.576364278793335
94.398,1.9208049774169922,1.596362829208374
94.501,1.9408036470413208,1.6163614988327026
94.601,1.9608023166656494,1.6363600492477417
94.7,1.9808011054992676,1.6563585996627808
94.801,2.0007998943328857,1.6763571500778198
94.901,2.020798444747925,1.6963558197021484
94.998,2.040797233581543,1.7163543701171875
95.1,2.043149948120117,1.7140519618988037
95.2,2.0454976558685303,1.711700439453125
95.299,2.0654866695404053,1.7316386699676514
95.401,2.0854854583740234,1.7516372203826904
95.501,2.1054842472076416,1.7716357707977295
95.601,2.1254827976226807,1.7916343212127686
95.7,2.145481586456299,1.8116329908370972
95.799,2.165480375289917,1.8316315412521362
95.901,2.185478925704956,1.8516300916671753
96.001,2.205477714538574,1.871628761291504
96.101,2.2254765033721924,1.891627311706543
96.2,2.2454750537872314,1.911625862121582
96.299,2.2478277683258057,1.9093223810195923
96.401,2.250175714492798,1.9069708585739136
96.502,2.27016544342041,1.926909327507019
96.601,2.290163993835449,1.946907877922058
96.701,2.3101627826690674,1.9669064283370972
96.801,2.3301615715026855,1.9869050979614258
96.899,2.3501601219177246,2.006903648376465
97.007,2.3701589107513428,2.026902198791504
97.101,2.390157699584961,2.046900749206543
97.201,2.4101524353027344,2.066856861114502
97.301,2.4301488399505615,2.086812734603882
97.401,2.4501466751098633,2.106759548187256
97.498,2.470146656036377,2.1267056465148926
97.599,2.4901468753814697,2.146650552749634
97.701,2.5101447105407715,2.1665971279144287
97.801,2.510167121887207,2.1666204929351807
97.899,2.5101659297943115,2.166619300842285
98.001,2.510164499282837,2.1666176319122314
98.101,2.5101630687713623,2.166614532470703
98.199,2.5101613998413086,2.1666111946105957
98.301,2.510159492492676,2.166606903076172
98.401,2.510157346725464,2.1666016578674316
98.501,2.510155200958252,2.1665964126586914
98.6,2.510153293609619,2.1665916442871094
98.701,2.5101513862609863,2.1665878295898438
98.803,2.5101492404937744,2.1665828227996826
98.899,2.5101468563079834,2.166576862335205
99.001,2.5101444721221924,2.1665704250335693
99.101,2.5101420879364014,2.1665639877319336
99.201,2.5101399421691895,2.166557788848877
99.301,2.5101377964019775,2.166551351547241
99.401,2.5101354122161865,2.1665444374084473
99.501,2.5101330280303955,2.1665380001068115
99.596,2.5101306438446045,2.1665310859680176
99.699,2.5101282596588135,2.1665241718292236
99.801,2.5101258754730225,2.1665172576904297
99.901,2.5101234912872314,2.1665103435516357
100.001,2.5101213455200195,2.166504144668579
100.101,2.5101194381713867,2.166496992111206
100.2,2.5101170539855957,2.166489839553833
100.301,2.510114908218384,2.166482925415039
100.401,2.5101125240325928,2.166476011276245
100.501,2.510110378265381,2.166469097137451
100.6,2.510108232498169,2.1664626598358154
100.701,2.510106086730957,2.1664557456970215
100.801,2.510103702545166,2.1664493083953857
100.896,2.510101556777954,2.16644287109375
101.001,2.5100996494293213,2.166435956954956
101.101,2.5100975036621094,2.166429281234741
101.201,2.5100953578948975,2.1664230823516846
101.299,2.5100932121276855,2.1664159297943115
101.401,2.510091543197632,2.1664113998413086
101.501,2.5100903511047363,2.1664087772369385
101.601,2.510089159011841,2.166407346725464
101.701,2.5100879669189453,2.1664059162139893
